,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
22,22,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_28,28,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.104,0.439,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,380,4.39,439,221.695,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,43.9,439,241.45,221.695,0.000439,0.00038,0.000221695,0.542790003,0.000333172,998,1450,0.027302985,1.969008533,1290,0.021006649,1.514935868,1610,0.032747483,2.361649216
23,23,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_31,31,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.135,2.845,0.579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845,579,28.45,579,303.725,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,284.5,2845,1564.75,303.725,0.002845,0.000579,0.000303725,0.236646521,0.000793866,998,1450,0.033231841,2.396579634,1290,0.025568253,1.843904883,1610,0.039858614,2.87448242
24,24,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_14,14,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.224,0.79,0.595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,595,7.9,790,398.95,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,79,790,434.5,398.95,0.00079,0.000595,0.00039895,0.581897432,0.000572384,998,1450,0.04388888,2.960710803,1290,0.033767674,2.277941876,1610,0.052640777,3.551107183
25,25,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_20,20,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.101,0.61,0.274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,274,6.1,274,140.05,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,61,610,335.5,140.05,0.00061,0.000274,0.00014005,0.342564941,0.000286058,998,1450,0.018336058,1.23693668,1290,0.014107584,0.951686959,1610,0.021992458,1.483594657
26,26,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_23,23,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.09,0.584,0.311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,311,5.84,584,294.92,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,58.4,584,321.2,294.92,0.000584,0.000311,0.00029492,0.692018344,0.000376958,998,1450,0.034865924,2.352028993,1290,0.026825501,1.809628056,1610,0.041818551,2.821047919
27,27,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_24,24,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.071,0.422,0.284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,284,4.22,422,213.11,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,42.2,422,232.1,213.11,0.000422,0.000284,0.00021311,0.615585574,0.000294495,998,1450,0.026676709,1.799590709,1290,0.020524799,1.384587455,1610,0.031996321,2.158447723
28,28,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_25,25,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.112,0.651,0.448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,448,6.51,651,328.755,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,65.1,651,358.05,328.755,0.000651,0.000448,0.000328755,0.608755454,0.000457696,998,1450,0.037707179,2.543697918,1290,0.029011534,1.957096249,1610,0.045226381,3.050937612
29,29,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_27,27,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.172,0.686,0.477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,477,6.86,686,346.43,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,68.6,686,377.3,346.43,0.000686,0.000477,0.00034643,0.605611686,0.000483971,998,1450,0.039306886,2.651612931,1290,0.030242333,2.040125002,1610,0.047145086,3.180371996
30,30,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_30,30,black,Non-Fiber,Black,0,"rubbery texture, tears apart easily.",done,0.079,0.781,0.191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,191,7.81,191,99.405,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,78.1,781,429.55,99.405,0.000781,0.000191,9.94E-05,0.257374804,0.000245677,998,1450,0.013675009,0.922505794,1290,0.010521418,0.709766917,1610,0.016401947,1.106462998
31,31,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_33,33,black,Non-Fiber,Black,0,"rubbery texture, tears apart easily.",done,0.121,0.592,0.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,430,5.92,592,298.96,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,59.2,592,325.6,298.96,0.000592,0.00043,0.00029896,0.592540451,0.000423774,998,1450,0.034884698,2.353295431,1290,0.026839945,1.810602441,1610,0.041841068,2.822566898
