"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"801",801,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_21","21","black","Non-Fiber","Black",0,"0","done",0.243,0.75,0.519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,519,7.5,750,378.75,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,75,750,412.5,378.75,0.00075,0.000519,0.00037875,0.607069384003361,0.000528275440609859,998,1200,0.202404809619238,6.63983110878462,4.6,0.0260408841647797,13.7567595560193,2.06242204241693,0.0260408841647797,0.002,9.81,0.173824048969065,0.374529363445764,0.374529363445764
"802",802,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_2","2","black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0",0.331,0.917,0.517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,517,9.17,917,463.085,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,91.7,917,504.35,463.085,0.000917,0.000517,0.000463085,0.672559597353471,0.000603263242648965,998,1200,0.202404809619238,7.58234386346396,4.6,0.0307941589010577,18.5769841532995,1.68421970204426,0.0307941589010577,0.002,9.81,0.173824048969065,0.442892670543792,0.442892670543792
"803",803,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_15","15","black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0",0.44,1.57,0.581,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1570,581,15.7,581,298.35,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,157,1570,863.5,298.35,0.00157,0.000581,0.00029835,0.312383545509229,0.000648038202908879,998,1200,0.202404809619238,8.14511500740578,4.6,0.0205834309815819,13.3388496230033,4.04942767004128,0.0205834309815819,0.002,9.81,0.173824048969065,0.296038308618117,0.296038308618117
"804",804,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_19","19","black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0",0.297,0.906,0.499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,499,9.06,906,457.53,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,90.6,906,498.3,457.53,0.000906,0.000499,0.00045753,0.680464078938375,0.000591401978408913,998,1200,0.202404809619238,7.43326104560726,4.6,0.0305220522426249,18.0508020813886,1.68067555123251,0.0305220522426249,0.002,9.81,0.173824048969065,0.438979134700412,0.438979134700412
"805",805,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_38","38","black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0",0.357,0.855,0.634,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855,634,8.55,855,431.775,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,85.5,855,470.25,431.775,0.000855,0.000634,0.000431775,0.586448401080042,0.000616269898321621,998,1200,0.202404809619238,7.74582296984993,4.6,0.0288522069422721,17.7807466386684,1.95993401527253,0.0288522069422721,0.002,9.81,0.173824048969065,0.414962818916484,0.414962818916484
"806",806,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_45","45","black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0",0.324,0.812,0.635,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,635,8.12,812,410.06,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,81.2,812,446.6,410.06,0.000812,0.000635,0.00041006,0.571061037597048,0.000595743145255085,998,1200,0.202404809619238,7.48782465477364,4.6,0.0276363797509081,16.4641837962699,2.06502504270156,0.0276363797509081,0.002,9.81,0.173824048969065,0.397476354894748,0.397476354894748
"807",807,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_54","54","black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0",0.488,1.138,0.675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,675,11.38,1138,574.69,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,113.8,1138,625.9,574.69,0.001138,0.000675,0.00057469,0.655708211980954,0.000761423994298376,998,1200,0.202404809619238,9.57024751800103,4.6,0.0365386090627181,27.8213736586416,1.50991016521668,0.0365386090627181,0.002,9.81,0.173824048969065,0.525511419153812,0.525511419153812
"808",808,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","4","T-2",NA,1,"SF-3","SDC-SF-3-N-4","SDC-SF-3","SDC-SF-3-N-4_S0-0_D_15","15","black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0",0.219,1.035,0.519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,519,10.35,519,264.675,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,103.5,1035,569.25,264.675,0.001035,0.000519,0.000264675,0.361126258158984,0.000521923529721554,998,1200,0.202404809619238,6.55999469718142,4.6,0.0188844931197972,9.85626130608696,3.87458135130464,0.0188844931197972,0.002,9.81,0.140071410359145,0.337051170388324,0.337051170388324
"809",809,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","4","T-2",NA,1,"SF-3","SDC-SF-3-N-4","SDC-SF-3","SDC-SF-3-N-4_S0-0_F_19","19","black","Non-Fiber","Black",0,"0","0",0.289,1.012,0.545,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012,545,10.12,1012,511.06,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,101.2,1012,556.6,511.06,0.001012,0.000545,0.00051106,0.688150426269077,0.000655666460238451,998,1200,0.202404809619238,8.24099366544869,4.6,0.0333718893677434,21.8808285732175,1.5586548321242,0.0333718893677434,0.002,9.81,0.140071410359145,0.59562278416019,0.59562278416019
"810",810,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Stormflow","4","T-2",NA,1,"SF-3","SDC-SF-3-N-4","SDC-SF-3","SDC-SF-3-N-4_S0-0_H_25","25","black","Non-Fiber","Black",0,"0","0",0.122,0.709,0.492,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,492,7.09,709,358.045,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,70.9,709,389.95,358.045,0.000709,0.000492,0.000358045,0.606222350806935,0.000499861456628348,998,1200,0.202404809619238,6.28269912750769,4.6,0.0248933461056843,12.4432242447409,2.13555945939565,0.0248933461056843,0.002,9.81,0.140071410359145,0.444297413045557,0.444297413045557
