"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"2268",2268,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_1",1,"black","Non-Fiber","Black",0,"rubbery texture, bounces back and emits a powdery form.","0","0.182",0.866,0.498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,498,8.66,866,437.33,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,86.6,866,476.3,437.33,0.000866,0.000498,0.00043733,0.665940844846854,0.000573480737363576,998,1700,0.703406813627255,10.9180235745037,4.6,0.0620715078834921,35.596814110294,1.36945749872253,0.0620715078834921,5e-04,9.81,0.076078249191211,2.03972582648047,2.03972582648047
"2269",2269,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_3",3,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0","0.097",0.626,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,260,6.26,260,133.13,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,62.6,626,344.3,133.13,0.000626,0.00026,0.00013313,0.329990997032326,0.000278788296212403,998,1700,0.703406813627255,5.30761888243337,4.6,0.0228737158152774,6.3769242601879,4.90247525607834,0.0228737158152774,5e-04,9.81,0.076078249191211,0.751650966552471,0.751650966552471
"2270",2270,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_5",5,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.184",1.002,0.382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,382,10.02,382,196.01,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,100.2,1002,551.1,196.01,0.001002,0.000382,0.00019601,0.316820070629617,0.000421764255996897,998,1700,0.703406813627255,8.02961946207052,4.6,0.0310856007465766,13.1107952710965,4.01573972057126,0.0310856007465766,5e-04,9.81,0.076078249191211,1.0215009242802,1.0215009242802
"2271",2271,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_6",6,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0","0.085",0.408,0.327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,327,4.08,408,206.04,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,40.8,408,224.4,206.04,0.000408,0.000327,0.00020604,0.564088938267034,0.000301800405518627,998,1700,0.703406813627255,5.74572732363306,4.6,0.0336201960218457,10.1465887930088,2.45659549623896,0.0336201960218457,5e-04,9.81,0.076078249191211,1.10479001486175,1.10479001486175
"2272",2272,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_7",7,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0","0.082",0.413,0.282,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,282,4.13,413,208.565,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,41.3,413,227.15,208.565,0.000413,0.000282,0.000208565,0.611141604117808,0.00028960998419183,998,1700,0.703406813627255,5.51364401419014,4.6,0.0341312166772492,9.88474112234606,2.28730618852366,0.0341312166772492,5e-04,9.81,0.076078249191211,1.12158261527108,1.12158261527108
"2273",2273,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_9",9,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.136",0.508,0.404,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,404,5.08,508,256.54,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,50.8,508,279.4,256.54,0.000508,0.000404,0.00025654,0.56628173200272,0.000374800408821885,998,1700,0.703406813627255,7.13551377167993,4.6,0.0400751735541382,15.020191431699,2.1471557437571,0.0400751735541382,5e-04,9.81,0.076078249191211,1.31690640821056,1.31690640821056
"2274",2274,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_10",10,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.098",0.625,0.292,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,292,6.25,292,149.125,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,62.5,625,343.75,149.125,0.000625,0.000292,0.000149125,0.349075221512459,0.000300795343270603,998,1700,0.703406813627255,5.72659277803661,4.6,0.0251410919389406,7.56232337997142,4.37841729740643,0.0251410919389406,5e-04,9.81,0.076078249191211,0.826158994397739,0.826158994397739
"2275",2275,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_11",11,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.756,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,374,7.56,374,190.78,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,75.6,756,415.8,190.78,0.000756,0.000374,0.00019078,0.358786542998211,0.000377840708897466,998,1700,0.703406813627255,7.19339552033527,4.6,0.030673583860581,11.5897286703078,3.69482624257028,0.030673583860581,5e-04,9.81,0.076078249191211,1.00796167717686,1.00796167717686
"2276",2276,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_16",16,"black","Non-Fiber","Black",0,"could make dents in the particle.","0","0.167",0.713,0.408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,408,7.13,713,360.065,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,71.3,713,392.15,360.065,0.000713,0.000408,0.000360065,0.667584218451493,0.000471386202955569,998,1700,0.703406813627255,8.97433050711488,4.6,0.053139928599531,25.049429167863,1.53585157958562,0.053139928599531,5e-04,9.81,0.076078249191211,1.74622606212887,1.74622606212887
"2277",2277,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_S_24",24,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0","0.117",0.557,0.309,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,309,5.57,557,281.285,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,55.7,557,306.35,281.285,0.000557,0.000309,0.000281285,0.678015677473373,0.000364462975083549,998,1700,0.703406813627255,6.93870795432347,4.6,0.0436598672049889,15.9124050932829,1.75915015097503,0.0436598672049889,5e-04,9.81,0.076078249191211,1.43470268010692,1.43470268010692
