"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","polymer","plastic_or_not","Length..microns.","Width..microns.","material.1","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"699",707,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_F_70",70,"green","Non-Fiber","Green",0,"0","0",0.413,0.852,0.671,0,"Y","SDC-SF-3-N-2_S0-0_F_70.SPA","Y",0.9,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",852,671,NA,8.52,852,430.26,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,85.2,852,468.6,430.26,0.000852,0.000671,0.00043026,0.569049328792422,0.000626562448020079,998,1010,0.0120240480961924,3.07282339010373,4.6,0.00527695943583244,3.30634462221783,3.53879414334471,0.00527695943583244,0.002,9.81,0.144212343438417,0.0914789835255304,0.0914789835255304
"700",708,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_F_71",71,"black","Non-Fiber","Black",0,"0","0",0.274,0.945,0.518,0,"Y","SDC-SF-3-N-2_S0-0_F_71.SPA","Y",0.9,"LDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",945,518,NA,9.45,945,477.225,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,94.5,945,519.75,477.225,0.000945,0.000518,0.000477225,0.682091130869483,0.000615878322643874,998,1010,0.0120240480961924,3.02042569141855,4.6,0.00580261414768923,3.57370426822845,2.87677556973657,0.00580261414768923,0.002,9.81,0.144212343438417,0.100591496007537,0.100591496007537
"701",709,"EVA","fragment","ETHYLENE-VINYL ACETATE","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_F_72",72,"blue","Non-Fiber","Blue",0,"0","0",0.057,0.424,0.316,0,"Y","SDC-SF-3-N-2_S0-0_F_72.SPA","Y",0.9,"EVA","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Other Plastic","ETHYLENE-VINYL ACETATE","plastic",424,316,NA,4.24,424,214.12,9.39e-10,9.31e-10,9.47e-10,9.34e-10,9.44e-10,42.4,424,233.2,214.12,0.000424,0.000316,0.00021412,0.584966189653705,0.000306128237648903,998,939,0.0591182364729459,2.55289851411721,4.6,0.00225047530588441,0.688934039262769,46.739504279475,-0.00225047530588441,0.002,9.81,0.144212343438417,0.0390132226588049,-0.0390132226588049
"702",710,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_F_75",75,"green","Non-Fiber","Green",0,"0","0",0.249,0.729,0.455,0,"Y","SDC-SF-3-N-2_S0-0_F_75.SPA","Y",1,"LDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",729,455,NA,7.29,729,368.145,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,72.9,729,400.95,368.145,0.000729,0.000455,0.000368145,0.639218659384639,0.000496119096139657,998,1010,0.0120240480961924,2.43309564387779,4.6,0.00469440697918146,2.3289849474232,3.54064933841229,0.00469440697918146,0.002,9.81,0.144212343438417,0.0813801174582899,0.0813801174582899
"703",711,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_G_23",23,"black","Non-Fiber","Black",0,"0","0",0.097,0.473,0.342,0,"Y","SDC-SF-3-N-2_S0-0_G_23.SPA","Y",0.8,"Polyethylene, low Mw ~4,000 by GPC","NIST Chem Web Book","0","Reflectance","0","Polymer, Minerals, Organic Materials","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",473,342,NA,4.73,473,238.865,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,47.3,473,260.15,238.865,0.000473,0.000342,0.000238865,0.593893942232014,0.000338075154529771,998,1010,0.0120240480961924,1.65800750704856,4.6,0.00330489950363127,1.1173044103955,4.86805177092363,0.00330489950363127,0.002,9.81,0.144212343438417,0.0572922439375405,0.0572922439375405
"704",712,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_G_30",30,"black","Non-Fiber","Black",0,"0","0",0.077,0.633,0.37,0,"Y","SDC-SF-3-N-2_S0-0_G_30.SPA","Y",0.9,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",633,370,NA,6.33,633,319.665,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,63.3,633,348.15,319.665,0.000633,0.00037,0.000319665,0.660529732129468,0.000421470168394837,998,1010,0.0120240480961924,2.06699810332889,4.6,0.00420214671736452,1.77107948458744,3.75390144238795,0.00420214671736452,0.002,9.81,0.144212343438417,0.0728465160674502,0.0728465160674502
"705",713,"PP","fragment","POLY(PROPYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_G_117",117,"green","Non-Fiber","Green",0,"0","0",0.025,1.694,0.368,2.953,"Y","SDC-SF-3-N-2_S0-0_G_117.SPA","Y",0.9,"PP 51. White Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",1694,368,NA,16.94,368,192.47,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,169.4,1694,931.7,192.47,0.001694,0.000368,0.00019247,0.24377122175995,0.000493220845857037,998,1000,0.00200400801603218,1.33116199807275,4.6,0.000894240150787424,0.441057883570697,16.1674040066427,0.000894240150787424,0.002,9.81,0.144212343438417,0.0155021430459122,0.0155021430459122
"706",714,"Polyesters","fragment","POLYESTERS","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_H_59",59,"clear","Non-Fiber","Transparent",0,"0","0",0.535,1.356,0.74,0,"Y","SDC-SF-3-N-2_S0-0_H_59.SPA","Y",0.7,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",1356,740,NA,13.56,1356,684.78,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,135.6,1356,745.8,684.78,0.001356,0.00074,0.00068478,0.683605208494699,0.000882431140349651,998,1010,0.0120240480961924,4.32766926391895,4.6,0.00774729681020172,6.83645595885351,2.31227181204194,0.00774729681020172,0.002,9.81,0.144212343438417,0.134303635623084,0.134303635623084
"707",715,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_H_105",105,"green","Non-Fiber","Green",0,"0","0",0.369,1.233,0.473,0,"Y","SDC-SF-3-N-2_S0-0_H_105.SPA","Y",1,"HDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1233,473,NA,12.33,473,242.665,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,123.3,1233,678.15,242.665,0.001233,0.000473,0.000242665,0.317756931619493,0.00052112725377088,998,1010,0.0120240480961924,2.55574208072611,4.6,0.00321021681617567,1.67293147342272,7.95304618208061,0.00321021681617567,0.002,9.81,0.144212343438417,0.0556508676656121,0.0556508676656121
"708",716,"polystyrene","foam","POLYSTYRENE","foam","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_H_106",106,"white","Non-Fiber","White",0,"could make dents.","0",0.825,1.627,0.73,0,"Y","SDC-SF-3-N-2_S0-0_H_106.SPA","Y",0.9,"EPS","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYSTYRENES (POLYPHENYLETHYLENES, Î±-Methylstyrene)","POLYSTYRENE","plastic",1627,730,NA,16.27,730,373.135,3.1e-11,1.2e-11,5e-11,1.86e-11,4.34e-11,162.7,1627,894.85,373.135,0.001627,0.00073,0.000373135,0.342381887002618,0.000762416231363628,998,31,0.968937875751503,16.1502945332938,5,0.0536709309296147,40.9195888931345,3.35442088887048,-0.0536709309296147,0.002,9.81,0.144212343438417,0.93041499863938,-0.93041499863938
"709",717,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_H_109",109,"green","Non-Fiber","Green",0,"0","0",0.471,0.921,0.789,0,"Y","SDC-SF-3-N-2_S0-0_H_109.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",921,789,NA,9.21,921,465.105,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,92.1,921,506.55,465.105,0.000921,0.000789,0.000465105,0.54561046495433,0.000696566440908491,998,1010,0.0120240480961924,3.41614097549032,4.6,0.00560043768363037,3.9010769448162,3.49282685607639,0.00560043768363037,0.002,9.81,0.144212343438417,0.0970866562129946,0.0970866562129946
"710",718,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_I_18",18,"green","Non-Fiber","Green",0,"0","0",0.112,0.581,0.343,0,"Y","SDC-SF-3-N-2_S0-0_I_18.SPA","Y",1,"ULDPE","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",581,343,NA,5.81,581,293.405,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,58.1,581,319.55,293.405,0.000581,0.000343,0.000293405,0.657252708209696,0.000388131824992287,998,1010,0.0120240480961924,1.90349829302526,4.6,0.00392233921926005,1.52238467941023,3.96777833892985,0.00392233921926005,0.002,9.81,0.144212343438417,0.0679958997569268,0.0679958997569268
"711",719,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_I_20",20,"clear","Non-Fiber","Transparent",0,"0","0",0.135,0.644,0.438,0,"Y","SDC-SF-3-N-2_S0-0_I_20.SPA","Y",1,"HDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",644,438,NA,6.44,644,325.22,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,64.4,644,354.2,325.22,0.000644,0.000438,0.00032522,0.612346523498078,0.000451002629994677,998,1010,0.0120240480961924,2.21183289044084,4.6,0.00423900501049008,1.91180240829164,3.94738660803918,0.00423900501049008,0.002,9.81,0.144212343438417,0.0734854747766486,0.0734854747766486
"712",720,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","2","SC",NA,1.06,"SF-3","SDC-SF-3-N-2","SDC-SF-3","SDC-SF-3-N-2_S0-0_I_21",21,"white","Non-Fiber","White",0,"0","0",0.189,0.826,0.529,0,"Y","SDC-SF-3-N-2_S0-0_I_21.SPA","Y",1,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",826,529,NA,8.26,826,417.13,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,82.6,826,454.3,417.13,0.000826,0.000529,0.00041713,0.631035171383996,0.000566981708498982,998,1010,0.0120240480961924,2.78062411997728,4.6,0.00518333996735767,2.93885895042351,3.31900653899224,0.00518333996735767,0.002,9.81,0.144212343438417,0.0898560387372649,0.0898560387372649
