"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"21","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_20",20,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.17",0.795,0.385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,385,7.95,385,196.475,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,79.5,795,437.25,196.475,0.000795,0.000385,0.000196475,0.355134912063796,0.000391782516858776,998,1290,0.292585170340681,5.56782390210423,4.6,0.0185402395929247,7.26374173088078,4.36188711264641,0.0185402395929247,0.001,9.81,0.0490249936257008,0.945448342863488,0.945448342863488
"22","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_28",28,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.104",0.439,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,380,4.39,439,221.695,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,43.9,439,241.45,221.695,0.000439,0.00038,0.000221695,0.542790002525936,0.000333171623484683,998,1290,0.292585170340681,4.73487419401506,4.6,0.0210066494256474,6.99881949311653,2.88944534396067,0.0210066494256474,0.001,9.81,0.0490249936257008,1.07122142564823,1.07122142564823
"23","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_31",31,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.135",2.845,0.579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845,579,28.45,579,303.725,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,284.5,2845,1564.75,303.725,0.002845,0.000579,0.000303725,0.236646520632563,0.000793865858980214,998,1290,0.292585170340681,11.2820381576339,4.6,0.0255682529279511,20.2977630732713,4.64734668708171,0.0255682529279511,0.001,9.81,0.0490249936257008,1.30383764672981,1.30383764672981
"24","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_14",14,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.224",0.79,0.595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,595,7.9,790,398.95,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,79,790,434.5,398.95,0.00079,0.000595,0.00039895,0.581897432412912,0.000572384030971409,998,1290,0.292585170340681,8.13444539173799,4.6,0.033767674376775,19.3280775763085,1.92107915865978,0.033767674376775,0.001,9.81,0.0524099227246139,1.61074814755052,1.61074814755052
"25","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_20",20,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.101",0.61,0.274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,274,6.1,274,140.05,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,61,610,335.5,140.05,0.00061,0.000274,0.00014005,0.34256494114477,0.000286058267261761,998,1290,0.292585170340681,4.06532193070951,4.6,0.0141075835546416,4.0355909068913,5.50059026083044,0.0141075835546416,0.001,9.81,0.0524099227246139,0.672944302397155,0.672944302397155
"26","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_23",23,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.09",0.584,0.311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,311,5.84,584,294.92,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,58.4,584,321.2,294.92,0.000584,0.000311,0.00029492,0.692018344458819,0.000376957585586397,998,1290,0.292585170340681,5.35713913917195,4.6,0.0268255005023665,10.1120759015188,2.0047345444903,0.0268255005023665,0.001,9.81,0.0524099227246139,1.27960026974854,1.27960026974854
"27","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_24",24,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.071",0.422,0.284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,284,4.22,422,213.11,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,42.2,422,232.1,213.11,0.000422,0.000284,0.00021311,0.615585573735731,0.000294495190584463,998,1290,0.292585170340681,4.18522341001237,4.6,0.0205247986411833,6.04445448754301,2.67534904090019,0.0205247986411833,0.001,9.81,0.0524099227246139,0.979051178391836,0.979051178391836
"28","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_25",25,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.112",0.651,0.448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,448,6.51,651,328.755,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,65.1,651,358.05,328.755,0.000651,0.000448,0.000328755,0.60875545428768,0.000457696006454716,998,1290,0.292585170340681,6.50455458060886,4.6,0.0290115342946181,13.2784633877707,2.0811135768641,0.0290115342946181,0.001,9.81,0.0524099227246139,1.38387602892768,1.38387602892768
"29","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_27",27,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.172",0.686,0.477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,477,6.86,686,346.43,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,68.6,686,377.3,346.43,0.000686,0.000477,0.00034643,0.605611685510472,0.000483970989342137,998,1290,0.292585170340681,6.87796194682039,4.6,0.0302423330015308,14.6364118227652,2.02511085408126,0.0302423330015308,0.001,9.81,0.0524099227246139,1.44258622362592,1.44258622362592
"30","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","2","C","Inside Thalweg",0.28,"DF-1","SAD-DF-1-N-2","SAD-DF-1","SAD-DF-1-N-2_S0-0_A_30",30,"black","Non-Fiber","Black",0,"rubbery texture, tears apart easily.","done","0.079",0.781,0.191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,191,7.81,191,99.405,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,78.1,781,429.55,99.405,0.000781,0.000191,9.9405e-05,0.257374804111788,0.000245676835964727,998,1290,0.292585170340681,3.49144053299046,4.6,0.0105214177700502,2.58486862760898,8.49328570985598,0.0105214177700502,0.001,9.81,0.0524099227246139,0.501880999965149,0.501880999965149
