"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1212",1212,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_69",69,"black","Non-Fiber","Black",0,"squishy when touched","done","0.155",0.632,0.397,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632,397,6.32,632,319.16,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,63.2,632,347.6,319.16,0.000632,0.000397,0.00031916,0.637169037910299,0.00043102786490172,998,1450,0.452905811623247,7.08594288489254,4.6,0.0369363269422305,15.9205861392215,1.87160231291012,0.0369363269422305,0.002,9.81,0.140071410359145,0.659241005133118,0.659241005133118
"1213",1213,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_73",73,"black","Non-Fiber","Black",0,"0","done","0.08",0.525,0.318,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,318,5.25,525,265.125,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,52.5,525,288.75,265.125,0.000525,0.000318,0.000265125,0.648869663046934,0.000353735816251759,998,1450,0.452905811623247,5.81528943812561,4.6,0.0318811764935474,11.2775139900114,2.06170248022695,0.0318811764935474,0.002,9.81,0.140071410359145,0.569016482589195,0.569016482589195
"1214",1214,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_75",75,"black","Non-Fiber","Black",0,"0","done","0.115",0.494,0.398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,398,4.94,494,249.47,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,49.4,494,271.7,249.47,0.000494,0.000398,0.00024947,0.562617603563198,0.000366051998842903,998,1450,0.452905811623247,6.01776304483931,4.6,0.0300786850129278,11.0103627715483,2.39684929851064,0.0300786850129278,0.002,9.81,0.140071410359145,0.536845544279979,0.536845544279979
"1215",1215,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_E_1",1,"black","Non-Fiber","Black",0,"0","done","0.076",0.583,0.253,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,253,5.83,253,129.415,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,58.3,583,320.65,129.415,0.000583,0.000253,0.000129415,0.33696910056174,0.00026725421548689,998,1450,0.452905811623247,4.39356306376774,4.6,0.0171945307547343,4.59531082752173,5.35500086347958,0.0171945307547343,0.002,9.81,0.140071410359145,0.306888656126316,0.306888656126316
"1216",1216,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_E_16",16,"black","Non-Fiber","Black",0,"0","done","0.115",0.51,0.335,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,335,5.1,510,257.55,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,51,510,280.5,257.55,0.00051,0.000335,0.00025755,0.623094707829695,0.000353041299033212,998,1450,0.452905811623247,5.8038718251499,4.6,0.0310662960953553,10.9676855296546,2.16701638720102,0.0310662960953553,0.002,9.81,0.140071410359145,0.554472465432112,0.554472465432112
"1217",1217,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_E_21",21,"black","Non-Fiber","Black",0,"0","done","0.142",0.79,0.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,310,7.9,310,158.95,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,79,790,434.5,158.95,0.00079,0.00031,0.00015895,0.321193050205331,0.000338909002936858,998,1450,0.452905811623247,5.57154196639707,4.6,0.0202033225794132,6.84708791140064,4.91873184875213,0.0202033225794132,0.002,9.81,0.140071410359145,0.360589690066153,0.360589690066153
"1218",1218,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-1_A_37",37,"black","Non-Fiber","Black",0,"squishy when touched","done","0.013",1.512,0.157,1.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1512,157,15.12,157,86.06,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,151.2,1512,831.6,86.06,0.001512,0.000157,8.606e-05,0.176634535242135,0.000273370047629599,998,1450,0.452905811623247,4.49410514186914,4.6,0.0118834555052423,3.2485807974723,11.4678255331841,0.0118834555052423,0.002,9.81,0.136524723035793,0.217606292124225,0.217606292124225
"1219",1219,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-1_A_54",54,"black","Non-Fiber","Black",0,"0","done","0.028",2.46,0.689,3.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2460,689,24.6,689,356.8,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,246,2460,1353,356.8,0.00246,0.000689,0.0003568,0.274061279643913,0.000845654683049526,998,1450,0.452905811623247,13.9022584672041,4.6,0.0381732982056577,32.2814283950605,3.43786901507962,0.0381732982056577,0.002,9.81,0.136524723035793,0.699018048834454,0.699018048834454
"1220",1220,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-1_B_1",1,"black","Non-Fiber","Black",0,"0","done","0.124",0.84,0.321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,321,8.4,321,164.7,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,84,840,462,164.7,0.00084,0.000321,0.0001647,0.31717681952889,0.000354127216557815,998,1450,0.452905811623247,5.82172391821306,4.6,0.0207684907938832,7.35468783694445,4.86368082190645,0.0207684907938832,0.002,9.81,0.136524723035793,0.380306407734632,0.380306407734632
"1221",1221,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-1_B_9",9,"black","Non-Fiber","Black",0,"0","done","0.261",10.056,2.839,32.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10056,2839,100.56,2839,1469.78,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,1005.6,10056,5530.8,1469.78,0.010056,0.002839,0.00146978,0.275078726346143,0.00347494282682244,998,1450,0.452905811623247,57.126808738329,4.6,0.118502895876784,411.790787984717,1.46590347459147,0.118502895876784,0.002,9.81,0.136524723035793,2.16998967735895,2.16998967735895
"1222",1222,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-1_C_5",5,"black","Non-Fiber","Black",0,"0","done","0.068",0.648,0.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,240,6.48,240,123.24,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.8,648,356.4,123.24,0.000648,0.00024,0.00012324,0.31250614808767,0.000267616351632079,998,1450,0.452905811623247,4.39951645158861,4.6,0.0164521206529275,4.40285650574723,5.85712525700254,0.0164521206529275,0.002,9.81,0.136524723035793,0.301266325378558,0.301266325378558
"1223",1223,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-2_A_1",1,"black","Non-Fiber","Black",0,"0","done","0.227",0.912,0.469,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912,469,9.12,912,460.56,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,91.2,912,501.6,460.56,0.000912,0.000469,0.00046056,0.704210304893448,0.000581859280819281,998,1450,0.452905811623247,9.56555704784929,4.6,0.0498623138404789,29.0128500712063,1.38640063158719,0.0498623138404789,0.002,9.81,0.136524723035793,0.913063816057081,0.913063816057081
"1224",1224,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",0.95,"SF-4","SAD-SF-4-N-3","SAD-SF-4","SAD-SF-4-N-3_S1-2_A_4",4,"black","Non-Fiber","Black",0,"0","done","0.268",0.717,0.514,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,514,7.17,717,362.085,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,71.7,717,394.35,362.085,0.000717,0.000514,0.000362085,0.596443618686941,0.000511011808722429,998,1450,0.452905811623247,8.40085011890913,4.6,0.040680194103356,20.7880595679354,1.82928149350718,0.040680194103356,0.002,9.81,0.136524723035793,0.744923578652688,0.744923578652688
