,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1811,1811,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_2,2,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.096,0.676,0.238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,238,6.76,238,122.38,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,67.6,676,371.8,122.38,0.000676,0.000238,0.00012238,0.305104506,0.00027003,998,1450,0.016334088,0.267246437,1290,0.012567287,0.205616789,1610,0.019591274,0.320538142
1812,1812,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_5,5,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",0,0.131,0.479,0.423,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,423,4.79,479,241.895,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,47.9,479,263.45,241.895,0.000479,0.000423,0.000241895,0.537389221,0.000365961,998,1450,0.029256166,0.478668042,1290,0.022509407,0.3682825,1610,0.035090148,0.574119404
1813,1813,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_9,9,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",0,0.31,0.905,0.534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,534,9.05,905,457.025,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,90.5,905,497.75,457.025,0.000905,0.000534,0.000457025,0.65742322,0.000604473,998,1450,0.049329298,0.807089984,1290,0.037953478,0.620967124,1610,0.05916607,0.968032081
1814,1814,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_13,13,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.182,0.602,0.382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,382,6.02,602,304.01,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,60.2,602,331.1,304.01,0.000602,0.000382,0.00030401,0.633954286,0.000411954,998,1450,0.035514916,0.581069144,1290,0.027324828,0.447068905,1610,0.042596957,0.696940346
1815,1815,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_24,24,black,Non-Fiber,Black,0,"rubbery texture, bounces back, emits a powdery form.",0,0.141,1.105,0.236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,236,11.05,236,123.525,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,110.5,1105,607.75,123.525,0.001105,0.000236,0.000123525,0.241889893,0.000318183,998,1450,0.016203483,0.265109563,1290,0.012466801,0.2039727,1610,0.019434625,0.317975154
1816,1816,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_26,26,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.101,0.517,0.329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,329,5.17,517,261.085,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,51.7,517,284.35,261.085,0.000517,0.000329,0.000261085,0.633051002,0.000354125,998,1450,0.03144016,0.514400963,1290,0.024189751,0.39577506,1610,0.037709653,0.61697784
1817,1817,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_N_32,32,black,Non-Fiber,Black,0,"rubbery texture, bounces back, emits a powdery form.",0,0.104,0.663,0.479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,479,6.63,663,334.815,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.3,663,364.65,334.815,0.000663,0.000479,0.000334815,0.5941285,0.000473752,998,1450,0.038200224,0.625004207,1290,0.029390878,0.480872111,1610,0.045817745,0.749636515
1818,1818,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_O_4,4,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.233,0.795,0.516,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,516,7.95,795,401.475,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,79.5,795,437.25,401.475,0.000795,0.000516,0.000401475,0.626830459,0.00054814,998,1450,0.044330243,0.725299093,1290,0.034107254,0.558038014,1610,0.053170152,0.869931239
1819,1819,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_O_10,10,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.021,0.323,0.159,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,159,3.23,159,81.115,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,32.3,323,177.65,81.115,0.000323,0.000159,8.11E-05,0.357932678,0.000160904,998,1450,0.011880398,0.194378406,1290,0.009140662,0.149552841,1610,0.014249472,0.233139473
1820,1820,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_O_12,12,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",0,0.144,0.533,0.412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,412,5.33,533,269.165,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,53.3,533,293.15,269.165,0.000533,0.000412,0.000269165,0.574389344,0.000389536,998,1450,0.032008004,0.523691612,1290,0.024626644,0.402923194,1610,0.038390731,0.628121139
