,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1393,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_52,52,black,Non-Fiber,Black,0,0,0,0.105,0.666,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,343,6.66,666,336.33,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.6,666,366.3,336.33,0.000666,0.000343,0.00033633,0.703690086,0.00042512,998,1450,0.038773459,0.978678504,1290,0.029831919,0.752985649,1610,0.046505288,1.173837127
1394,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_54,54,black,Non-Fiber,Black,0,0,0,0.061,0.602,0.321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,321,6.02,602,304.01,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,60.2,602,331.1,304.01,0.000602,0.000321,0.00030401,0.691571532,0.000388743,998,1450,0.035721476,0.901643599,1290,0.027483754,0.693715749,1610,0.042844708,1.081440666
1395,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_55,55,black,Non-Fiber,Black,0,0,0,0.235,0.89,0.462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890,462,8.9,890,449.45,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,89,890,489.5,449.45,0.00089,0.000462,0.00044945,0.700915064,0.000569601,998,1450,0.048882427,1.233838361,1290,0.037609661,0.949303143,1610,0.058630089,1.479878501
1396,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_59,59,black,Non-Fiber,Black,0,0,0,0.116,0.53,0.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,356,5.3,530,267.65,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,53,530,291.5,267.65,0.00053,0.000356,0.00026765,0.616175341,0.000369628,998,1450,0.03201332,0.808046252,1290,0.024630735,0.621702867,1610,0.038397107,0.969179039
1397,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_61,61,black,Non-Fiber,Black,0,0,0,0.169,0.65,0.495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,495,6.5,650,328.25,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,65,650,357.5,328.25,0.00065,0.000495,0.00032825,0.578689306,0.000472688,998,1450,0.037533879,0.947390342,1290,0.028878199,0.728912844,1610,0.045018523,1.136309782
1398,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_62,62,black,Non-Fiber,Black,0,0,0,0.121,0.616,0.372,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616,372,6.16,616,311.08,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,61.6,616,338.8,311.08,0.000616,0.000372,0.00031108,0.649845722,0.000414634,998,1450,0.036233892,0.914577454,1290,0.027878001,0.70366693,1610,0.043459305,1.096953665
1399,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_65,65,black,Non-Fiber,Black,0,0,0,0.108,0.676,0.294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,294,6.76,294,150.38,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,67.6,676,371.8,150.38,0.000676,0.000294,0.00015038,0.337320758,0.000310333,998,1450,0.019390317,0.489429794,1290,0.01491872,0.376562487,1610,0.023256946,0.587027161
1400,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_66,66,black,Non-Fiber,Black,0,0,0,0.157,0.57,0.439,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,439,5.7,570,287.85,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,57,570,313.5,287.85,0.00057,0.000439,0.00028785,0.575435361,0.000416072,998,1450,0.033777647,0.852579511,1290,0.02598819,0.65596632,1610,0.040513259,1.02259269
1401,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_67,67,black,Non-Fiber,Black,0,0,0,0.074,0.461,0.259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,259,4.61,461,232.805,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,46.1,461,253.55,232.805,0.000461,0.000259,0.000232805,0.673739421,0.000302922,998,1450,0.028804252,0.727046366,1290,0.022161709,0.559382349,1610,0.034548118,0.872026937
1402,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_68,68,black,Non-Fiber,Black,0,0,0,0.127,0.666,0.348,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,348,6.66,666,336.33,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.6,666,366.3,336.33,0.000666,0.000348,0.00033633,0.698616552,0.000427176,998,1450,0.038754759,0.978206502,1290,0.029817532,0.752622496,1610,0.046482859,1.173271004
