Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-5_B_25,25,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.027,2.68,0.686,3.176,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_44,44,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000316,2.679,0.872,3.469,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_40,40,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.055,2.658,0.728,6.527,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_42,42,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.034,2.65,1.125,4.024,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_7,7,blue,fragment,Non-Fiber,Blues,0,0,0,0.000197,2.612,0.437,2.916,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_D_53,53,gray,fragment,Non-Fiber,Blacks,0,0,0,0.00024,2.586,1.455,4.326,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-3_A_11,11,black,fragment,Non-Fiber,Blacks,0,0,done,1.283,2.578,1.135,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_B_7,7,clear,fragment,Non-Fiber,Transparent,0,0,0,0.031,2.576,0.724,3.495,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_29,29,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000253,2.567,0.306,2.778,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_D_58,58,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000254,2.561,0.619,2.944,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_35,35,black,fragment,Non-Fiber,Blacks,0,0,done,0.000254,2.534,0.832,3.214,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-3_A_3,3,gray,fragment,Non-Fiber,Blacks,0,0,0,2.958,2.515,2.125,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_49,49,black,fragment,Non-Fiber,Blacks,0,0,done,1.82,2.486,1.469,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_48,48,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000254,2.474,0.304,2.614,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_78,78,black,fragment,Non-Fiber,Blacks,0,0,done,0.000246,2.463,0.65,3.622,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_54,54,black,TRWP,Non-Fiber,Blacks,0,0,done,0.028,2.46,0.689,3.262,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_D_55,55,green,fragment,Non-Fiber,Greens,0,0,0,0.437,2.434,1.918,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_26,26,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.031,2.434,0.477,3.558,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_C_12,12,black,fragment,Non-Fiber,Blacks,0,0,done,2.617,2.421,1.719,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-4_C_37,37,black,TRWP,Non-Fiber,Blacks,0,0,done,2.088,2.418,1.828,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_7,7,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.031,2.416,0.789,3.54,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_A_27,27,black,TRWP,Non-Fiber,Blacks,0,0,done,0.584,2.376,0.398,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_C_14,14,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000254,2.355,0.566,3.021,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_B_11,11,black,fragment,Non-Fiber,Blacks,0,0,done,0.026,2.354,0.8,3.129,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-4_B_20,20,black,fragment,Non-Fiber,Blacks,0,0,0,0.719,2.354,0.51,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_A_12,12,green,fragment,Non-Fiber,Greens,0,0,0,0.723,2.351,1.007,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_9,9,black,fragment,Non-Fiber,Blacks,0,0,done,0.000444,2.347,0.938,5.427,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_E_23,23,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000762,2.346,1.683,11.107,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_4,4,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.025,2.338,0.588,2.78,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_A_9,9,black,TRWP,Non-Fiber,Blacks,0,slight bounce back,done,0.445,2.337,0.455,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_12,12,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000316,2.33,0.531,3.522,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_33,33,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000253,2.321,0.45,2.655,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_D_23,23,white,fragment,Non-Fiber,Whites,0,0,0,0.446,2.311,0.614,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_17,17,black,fragment,Non-Fiber,Blacks,0,0,done,2.212,2.309,1.551,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-5_D_42,42,gray,fragment,Non-Fiber,Blacks,0,0,0,0.776,2.309,0.584,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_77,77,green,fragment,Non-Fiber,Greens,0,0,0,0.000197,2.287,0.489,2.594,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_27,27,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000345,2.284,1.34,5.678,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_1,1,blue,fragment,Non-Fiber,Blues,0,0,0,0.000254,2.269,0.613,2.8,sub
