Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_22,22,black,fragment,Non-Fiber,Blacks,0,0,0,0.251,0.994,0.465,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_23,23,gray,film,Non-Fiber,Blacks,0,0,0,0.000146,2.16,1.211,4.683,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_27,27,gray,film,Non-Fiber,Blacks,0,0,0,0.0000731,1.397,0.729,2.324,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_28,28,gray,film,Non-Fiber,Blacks,0,0,0,0.0000731,1.236,0.908,2.329,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_3,3,blue,fragment,Non-Fiber,Blues,0,0,0,0.5,1.095,0.737,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_4,4,black,fragment,Non-Fiber,Blacks,0,0,0,0.599,1.089,0.818,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_5,5,black,TW,Non-Fiber,Blacks,0,0,0,0.296,1.024,0.522,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_7,7,gray,film,Non-Fiber,Blacks,0,0,0,0.000122,1.554,0.983,3.59,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_8,8,black,fragment,Non-Fiber,Blacks,0,0,0,0.273,2.207,1.556,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_9,9,green,fragment,Non-Fiber,Greens,0,0,0,0.548,1.303,0.971,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_1,1,gray,fragment,Non-Fiber,Blacks,0,"can be compressed, thin particle",done,1.042,1.738,0.995,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_11,11,black,tw,Non-Fiber,Blacks,0,"bounces back when touched, retains original shape",done,0.161,0.605,0.39,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_12,12,black,tw,Non-Fiber,Blacks,0,"bounces back when touched, retains original shape",done,0.535,1.379,0.692,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_13,13,gray,tw,Non-Fiber,Blacks,0,hard surface,done,0.161,0.61,0.393,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_14,14,blue,fragment,Non-Fiber,Blues,0,covered in organics,0,2.053,3.719,0.958,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_15,15,black,fragment,Non-Fiber,Blacks,0,"bounces back when touched, retains original shape",done,0.211,0.718,0.563,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_16,16,black,fragment,Non-Fiber,Blacks,0,bounces back slightly,done,0.214,0.746,0.411,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_17,17,white,foam,Non-Fiber,Whites,0,0,0,2.723,2.083,1.672,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_18,18,gray,fragment,Non-Fiber,Blacks,0,very thin particle,done,0.19,0.878,0.415,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_19,19,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, retains original shape",done,0.338,1.245,0.729,0,sub
