,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
21,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_C_31,31,blue,Fiber,Blue,0,semi-transparent,done,0.025,3.083,0.12,3.083,Y,SAD-BF-4-N-1_S0-0_C_31.SPA,Y,0.9,PP 9. White Fork Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,3083,120,NA,3.083,120,61.5415,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,3.083,1541.5,772.2915
22,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_D_3,3,brown,Fiber,Black,0,very long,done,0.267,32.494,3.205,32.494,Y,SAD-BF-4-N-1_S0-0_D_3.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,32494,3205,NA,32.494,3205,1618.747,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,32.494,16247,8139.747
23,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_D_9,9,blue,Fiber,Blue,0,0,done,0.113,13.442,2.884,13.442,Y,SAD-BF-4-N-1_S0-0_D_9.SPA,Y,0.9,PP 9. White Fork Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,13442,2884,NA,13.442,2884,1448.721,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,13.442,6721,3367.221
24,Polyesters,fiber,POLYESTERS,fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_A_9,9,black,Fiber,Black,0,0,done,0.053,6.226,2.056,6.226,Y,SAD-BF-4-N-2_S0-0_A_9.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,6226,2056,NA,6.226,3113,1559.613,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,6.226,3113,1559.613
25,Polyesters,fiber bundle,POLYESTERS,fiber bundle,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_A_13,13,black,Fiber,Black,0,0,done,0.241,1.146,0.557,0,Y,SAD-BF-4-N-2_S0-0_A_13.SPA,Y,0.9,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1146,557,NA,1.146,114.6,57.873,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,114.6,1146,630.3
26,PE,fiber,POLY(ETHYLENE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_A_18,18,black,Fiber,Black,0,thick fiber shape,done,0.029,3.275,0.603,3.275,Y,SAD-BF-4-N-2_S0-0_A_18.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,3275,603,NA,3.275,603,303.1375,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,3.275,1637.5,820.3875
27,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_B_21,21,yellow,Fiber,Yellow,0,breaks; could be natural,done,0.062,6.883,0.979,6.883,Y,SAD-BF-4-N-2_S0-0_B_21.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,6883,979,NA,6.883,979,492.9415,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,6.883,3441.5,1724.1915
28,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_C_2,2,blue,Fiber,Blue,0,0,done,0.016,1.884,0.147,1.884,Y,SAD-BF-4-N-2_S0-0_C_2.SPA,Y,0.9,PP 1. Red Straw Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,1884,147,NA,1.884,147,74.442,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,1.884,942,471.942
29,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_C_8,8,black,Fiber,Black,0,thick fiber,done,0.05,5.719,1.348,5.719,Y,SAD-BF-4-N-2_S0-0_C_8.SPA,Y,0.9,PP 8. White Toothbrush Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,5719,1348,NA,5.719,1348,676.8595,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,5.719,2859.5,1432.6095
30,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.16,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_C_9,9,blue,Fiber,Blue,0,0,done,0.038,4.294,1.324,4.294,Y,SAD-BF-4-N-2_S0-0_C_9.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,4294,1324,NA,4.294,2147,1075.647,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,4.294,2147,1075.647
