,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
21,PP,fiber bundle,POLY(PROPYLENE),fiber bundle,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_36,36,blue,Fiber,Blue,0,0,0,0.635,1.447,1.097,0,Y,SDC-BF-4-N-2_S0-0_A_36.SPA,Y,0.8,PP 52. White Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,1447,1097,NA,1.447,144.7,73.0735,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,144.7,1447,795.85
22,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_40,40,black,Fiber,Black,0,0,0,0.118,2.477,0.666,0,Y,SDC-BF-4-N-2_S0-0_A_40.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2477,666,NA,2.477,1238.5,620.4885,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.477,1238.5,620.4885
23,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_42,42,blue,Fiber,Blue,0,"thin and long particle, too thick to be a fiber, hard surface",done,0.105,12.281,1.719,12.281,Y,SDC-BF-4-N-2_S0-0_A_42.SPA,Y,0.9,PP 9. White Fork Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,12281,1719,NA,12.281,1719,865.6405,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,12.281,6140.5,3076.3905
24,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_A_1,1,brown,Fiber,Black,0,0,0,0.268,3.488,0.587,0,Y,SDC-BF-4-N-3_S0-0_A_1.SPA,Y,0.8,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,3488,587,NA,3.488,587,295.244,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,3.488,1744,873.744
25,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_A_34,34,green,Fiber,Green,0,very thin sheet particle,done,0.135,1.023,0.426,0,Y,SDC-BF-4-N-3_S0-0_A_34.SPA,Y,0.9,"Polyethylene, low Mw ~4,000 by GPC",NIST Chem Web Book,0,Reflectance,0,"Polymer, Minerals, Organic Materials",Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,1023,426,NA,1.023,511.5,256.2615,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.023,511.5,256.2615
26,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_A_45,45,blue,Fiber,Blue,0,"long and thin particle, hard surface",done,0.106,1.581,0.776,0,Y,SDC-BF-4-N-3_S0-0_A_45.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1581,776,NA,1.581,790.5,396.0405,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.581,790.5,396.0405
27,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_B_3,3,black,Fiber,Black,0,0,0,0.156,2.117,0.986,0,Y,SDC-BF-4-N-3_S0-0_B_3.SPA,Y,0.7,MDPE,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,2117,986,NA,2.117,1058.5,530.3085,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,2.117,1058.5,530.3085
28,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_B_9,9,gray,Fiber,Black,0,0,0,0.13,2.494,0.317,0,Y,SDC-BF-4-N-3_S0-0_B_9.SPA,Y,0.7,PVC.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyhaloolefins (Vinylhalides),POLY(VINYL CHLORIDE),plastic,2494,317,NA,2.494,317,159.747,1.33E-09,1.33E-09,1.33E-09,1.33E-09,1.33E-09,2.494,1247,624.747
29,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.2,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_9,9,black,Fiber,Black,0,0,0,0.032,0.997,0.429,0,Y,SDC-DF-1-N-1_A_9.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,997,429,NA,0.997,498.5,249.7485,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,0.997,498.5,249.7485
30,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.235,DF-1,SDC-DF-1-N-3,SDC-DF-1,SDC-DF-1-N-3_S0-0_A_4,4,black,Fiber,Black,0,0,0,0.163,1.325,0.871,0,Y,SDC-DF-1-N-3_A_4.SPA,Y,0.8,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,1325,871,NA,1.325,662.5,331.9125,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.325,662.5,331.9125
