Material,Morphology,Material (Raw Data),Morphology (Raw Data),Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length (microns),Width (microns),Min Projected Height (microns),Max Projected Height (microns),Projected Height (microns),Density (mg/microns3),5% Density (mg/microns3),95% Density (mg/microns3),10% Density (mg/microns3),90% Density (mg/microns3),Min Projected Width (microns),Max Projected Width (microns),Projected Width (microns)
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_A_5,5,black,Non-Fiber,Black,0,rubbery texture.,done,0.296,1.04,0.677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,677,10.4,1040,525.2,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,104,1040,572
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_D_47,47,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.119,0.877,0.556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877,556,8.77,877,442.885,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,87.7,877,482.35
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_E_48,48,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.828,1.728,0.905,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1728,905,17.28,1728,872.64,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,172.8,1728,950.4
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_4,4,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.082,0.761,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,374,7.61,374,190.805,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,76.1,761,418.55
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_5,5,black,Non-Fiber,Black,0,0,done,0.194,0.716,0.539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,539,7.16,716,361.58,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,71.6,716,393.8
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_6,6,black,Non-Fiber,Black,0,0,done,0.232,1.119,0.599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119,599,11.19,1119,565.095,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,111.9,1119,615.45
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_7,7,black,Non-Fiber,Black,0,0,done,0.234,0.781,0.601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,601,7.81,781,394.405,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,78.1,781,429.55
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_11,11,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.093,0.48,0.288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,288,4.8,480,242.4,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,48,480,264
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_16,16,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.2,0.782,0.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,590,7.82,782,394.91,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,78.2,782,430.1
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_17,17,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.108,0.662,0.242,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,242,6.62,242,124.31,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.2,662,364.1
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_18,18,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.242,1.166,0.654,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166,654,11.66,1166,588.83,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,116.6,1166,641.3
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_20,20,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.169,0.716,0.368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,368,7.16,716,361.58,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,71.6,716,393.8
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_23,23,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.261,0.762,0.618,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,618,7.62,762,384.81,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,76.2,762,419.1
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_A_6,6,black,Non-Fiber,Black,0,"rubbery texture, could be foam.",done,1.177,2.278,1.009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278,1009,22.78,1009,515.89,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,227.8,2278,1252.9
