X,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
43,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_C_40,40,black,Non-Fiber,Black,0.00067,0.000572,0.00033835,0.54655109,0.00050615,1450,0.038308777,1.395671398,1290,0.029474398,1.073815895,1610,0.045947944,1.67398272
44,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_20,20,black,Non-Fiber,Black,0.000506,0.000287,0.00025553,0.670541541,0.000333548,1450,0.031022624,1.130221101,1290,0.023868503,0.869581038,1610,0.037208856,1.355598887
45,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_21,21,black,Non-Fiber,Black,0.000611,0.000204,0.000105055,0.297564445,0.000235702,1450,0.014432296,0.525799659,1290,0.011104067,0.404545105,1610,0.017310245,0.630649554
46,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_39,39,black,Non-Fiber,Black,0.000556,0.00038,0.00028078,0.610853372,0.000390009,1450,0.033244415,1.211165756,1290,0.025577927,0.931859063,1610,0.039873696,1.452684745
47,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_40,40,black,Non-Fiber,Black,0.000689,0.000275,0.000140945,0.323797668,0.000298905,1450,0.018360646,0.668917929,1290,0.014126501,0.514658899,1610,0.022021948,0.802307087
48,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_52,52,black,Non-Fiber,Black,0.000658,0.000431,0.00033229,0.623972845,0.000455065,1450,0.038093846,1.387840998,1290,0.029309032,1.067791262,1610,0.045690154,1.664590858
49,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_59,59,black,Non-Fiber,Black,0.00062,0.000405,0.0003131,0.62482689,0.000428394,1450,0.036326793,1.323463447,1290,0.027949479,1.018259805,1610,0.043570732,1.587375757
50,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_60,60,black,Non-Fiber,Black,0.000665,0.000565,0.000335825,0.547870576,0.000501566,1450,0.038086019,1.38755583,1290,0.02930301,1.067571857,1610,0.045680765,1.664248825
51,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_E_5,5,black,Non-Fiber,Black,0.001417,0.000405,0.000209585,0.276660884,0.000493623,1450,0.024956364,0.90921416,1290,0.019201182,0.699540464,1610,0.029932921,1.090520875
52,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_E_15,15,black,Non-Fiber,Black,0.000931,0.000625,0.000470155,0.616348311,0.000649168,1450,0.050243269,1.830470682,1290,0.038656679,1.408346203,1610,0.060262297,2.195485482
