X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
26,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_A_45,45,blue,Fiber,Blue,0.001581,0.000776,0.000396041,0.357554958,0.000396041,1450,0.035617846,1.387230142,1440,0.035141405,1.368673888,1460,0.036089902,1.405615565
27,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_B_3,3,black,Fiber,Black,0.002117,0.000986,0.000530309,0.367053781,0.000530309,1010,0.004857972,0.18920641,751,-0.022052708,-0.858900375,1270,0.033075459,1.288210209
28,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.21,BF-4,SDC-BF-4-N-3,SDC-BF-4,SDC-BF-4-N-3_S0-0_B_9,9,gray,Fiber,Black,0.002494,0.000317,0.000159747,0.179661431,0.000159747,1330,0.013949011,0.543280684,1330,0.013949011,0.543280684,1330,0.013949011,0.543280684
29,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.2,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_9,9,black,Fiber,Black,0.000997,0.000429,0.000249749,0.38187978,0.000249749,1450,0.02417976,0.965000418,1440,0.023848494,0.951779754,1460,0.0245081,0.978104286
30,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.235,DF-1,SDC-DF-1-N-3,SDC-DF-1,SDC-DF-1-N-3_S0-0_A_4,4,black,Fiber,Black,0.001325,0.000871,0.000331913,0.308963084,0.000331913,1010,0.003192535,0.117541793,751,-0.014493292,-0.533609562,1270,0.02287306,0.84213331
31,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.22,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_E_26,26,pink,Fiber,Red,0.004299,0.000763,0.00038365,0.211830575,0.00038365,1010,0.003701288,0.140841937,751,-0.016802957,-0.639388582,1270,0.026612114,1.012648063
32,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_D_4,4,red,Fiber,Red,0.002169,0.000552,0.000543335,0.496555695,0.000543335,1450,0.043948133,1.848820215,1440,0.043377234,1.824803536,1460,0.044513543,1.872606046
33,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_F_7,7,clear,Fiber,Transparent,0.001682,0.000498,0.000421341,0.460368982,0.000421341,1450,0.036460039,1.533809363,1440,0.035977809,1.513522804,1460,0.036937751,1.553905859
34,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_F_10,10,purple,Fiber,Blue,0.012128,0.002157,0.001084564,0.212048653,0.001084564,1000,0.003057251,0.12861314,999,0.001965465,0.082683623,1000,0.003057251,0.12861314
35,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_F_13,13,red,Fiber,Red,0.001437,0.000416,0.000359969,0.465574782,0.000359969,1010,0.003385329,0.142414822,751,-0.015368117,-0.646509493,1270,0.023657058,0.995210571
