Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,filter
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_A_23,23,black,tw,Non-Fiber,Blacks,0,"doesn't bounce back too well, retains original shape well",done,0.229,0.728,0.53,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_A_5,5,black,fragment,Non-Fiber,Blacks,0,bounces back when touched slightly,done,0.203,0.779,0.498,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_B_3,3,white,fragment,Non-Fiber,Whites,0,"quite soft, slight compression when touched",done,0.288,1.489,0.422,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_B_4,4,blue,fragment,Non-Fiber,Blues,0,"breaks easily, thin particle",done,0.11,0.719,0.246,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_C_16,16,green,fragment,Non-Fiber,Greens,0,0,0,1.457,2.738,1.406,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_C_20,20,yellow,foam,Non-Fiber,Yellows,0,have many different smaller structures,done,1.471,1.818,1.424,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_C_6,6,black,fragment,Non-Fiber,Blacks,0,"marked, bounces back slightly",done,0.133,0.88,0.325,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_1,1,green,fragment,Non-Fiber,Greens,0,0,0,0.596,1.192,0.836,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_10,10,blue,fragment,Non-Fiber,Blues,0,"long and thin particle, flexible",done,0.0000976,1.414,0.906,2.908,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_11,11,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, does not retain original shape",done,0.18,0.654,0.522,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_13,13,gray,fragment,Non-Fiber,Blacks,0,"two pieces, seems to break easily",done,0.089,0.574,0.36,0,rep
